56	Fajas Up Lady F6081 Vest Zipper Beige	XS/S/M/L/XL/XXL	125.00	20	1	2023-03-30
57	Fajas Up Lady F6082 Vest Zipper Cocoa	XS/S/M/L/XL/XXL	125.00	20	1	2023-03-30
58	Fajas Up Lady F6083 Short Black	XS/S/M/L/XL/XXL	110.00	20	1	2023-03-30
59	Fajas Up Lady F6084 Short Beige	XS/S/M/L/XL/XXL	110.00	20	1	2023-03-30
60	Post surgery Nude Fajas Bcurved	XS/S/M/L/XL/XXL	150.00	19	1	2023-03-30
61	Post surgery Black Fajas Bcurved	XS/S/M/L/XL/XXL	150.00	19	1	2023-03-30
62	Post surgery Beige Fajas Bcurved	XS/S/M/L/XL/XXL	150.00	19	1	2023-03-30
63	Maternity Nude Fajas Bcurved	XS/S/M/L/XL/XXL	90.00	19	1	2023-03-30
64	Maternity Black Fajas Bcurved	XS/S/M/L/XL/XXL	90.00	19	1	2023-03-30
65	Maternity Beige Fajas Bcurved	XS/S/M/L/XL/XXL	90.00	19	1	2023-03-30
66	Waistband Black Fajas Bcurved	XS/S/M/L/XL/XXL	120.00	19	1	2023-03-30
67	Waistband Beige Fajas Bcurved	XS/S/M/L/XL/XXL	120.00	19	1	2023-03-30
68	Colombian Jeans P01 Navy	S/M/L/XL/XL	40.00	6	1	2023-03-30
69	Colombian Jeans P01 Blue	S/M/L/XL/XL	40.00	6	1	2023-03-30
70	Colombian Jeans P01 Skye	S/M/L/XL/XL	40.00	6	1	2023-03-30
71	Colombian Jeans P01 Black	S/M/L/XL/XL	40.00	6	1	2023-03-30
72	Colombian Jeans P01 White	S/M/L/XL/XL	40.00	6	1	2023-03-30
73	Colombian Jeans P02 Navy	S/M/L/XL/XL	50.00	6	1	2023-03-30
74	Colombian Jeans P02 Blue	S/M/L/XL/XL	50.00	6	1	2023-03-30
75	Colombian Jeans P02 Skye	S/M/L/XL/XL	50.00	6	1	2023-03-30
76	Colombian Jeans P02 Skye	S/M/L/XL/XL	50.00	6	1	2023-03-30
77	Colombian Jeans P02 Skye	S/M/L/XL/XL	50.00	6	1	2023-03-30
78	Colombian Jeans P03 Skye	S/M/L/XL/XL	46.00	6	1	2023-03-30
79	Colombian Jeans P03 Skye	S/M/L/XL/XL	46.00	6	1	2023-03-30
80	Colombian Jeans P03 Skye	S/M/L/XL/XL	46.00	6	1	2023-03-30
81	Colombian Jeans P03 Skye	S/M/L/XL/XL	46.00	6	1	2023-03-30
82	Capri Jeans P04 Butt lift Navy	S/M/L/XL/XL	30.00	6	1	2023-03-30
83	Capri Jeans P04 Blue	S/M/L/XL/XL	30.00	6	1	2023-03-30
84	Capri Jeans P04 Skye	S/M/L/XL/XL	30.00	6	1	2023-03-30
85	Capri Jeans P04 Black	S/M/L/XL/XL	30.00	6	1	2023-03-30
86	Capri Jeans P04 Waist Control Navy	S/M/L/XL/XL	35.00	6	1	2023-03-30
87	Capri Jeans P04 Blue	S/M/L/XL/XL	35.00	6	1	2023-03-30
88	Capri Jeans P04 Skye	S/M/L/XL/XL	35.00	6	1	2023-03-30
89	Capri Jeans P04 Black	S/M/L/XL/XL	35.00	6	1	2023-03-30
90	Shirt V Neck Navy	S/M/L/XL/XL	14.99	7	1	2023-03-30
91	Shirt V Neck Blue	S/M/L/XL/XL	14.99	7	1	2023-03-30
92	Shirt V Neck Black	S/M/L/XL/XL	14.99	7	1	2023-03-30
93	Shirt V Neck White	S/M/L/XL/XL	14.99	7	1	2023-03-30
94	Shirt V Neck Pink	S/M/L/XL/XL	14.99	7	1	2023-03-30
95	Leggins Under Fit Navy	S/M/L/XL/XL	29.00	7	1	2023-03-30
96	Leggins Under Fit Blue	S/M/L/XL/XL	29.00	7	1	2023-03-30
97	Leggins Under Fit Black	S/M/L/XL/XL	29.00	7	1	2023-03-30
98	Leggins Under Fit White	S/M/L/XL/XL	29.00	7	1	2023-03-30
99	Leggins Under Fit Pink	S/M/L/XL/XL	29.00	7	1	2023-03-30
100	Bikers Under Fit Navy	S/M/L/XL/XL	15.00	7	1	2023-03-30
